ID,Depression,Alcohol,Suicide,Drugs
7IMGIR6F,1,0,0,0
7MFR419R,0,0,1,0
7NDP01F0,1,0,0,0
7U5FD20H,1,0,0,0
82MKUDEC,1,0,0,0
8B9ADEWI,1,0,0,0
8BFV4VOX,1,0,0,0
8P6YOLMS,0,1,0,0
8Q25BIL1,0,0,0,1
8SSR9UYN,1,0,0,0
8YXQSEHH,0,1,0,0
8Z4UTZVE,0,1,0,0
96Q2X9PY,0,1,0,0
9CZ5DDHT,0,0,0,1
9JW2PGV8,0,1,0,0
9L13GJIT,0,1,0,0
9OTMSDU9,1,0,0,0
9VW7CPBV,0,1,0,0
9YVCQS7J,0,1,0,0
A08XVOJ9,1,0,0,0
A1QFJ71D,1,0,0,0
A54FELHT,0,0,0,1
A8F3BDON,0,1,0,0
AFY1KE95,1,0,0,0
AHNC9LX3,1,0,0,0
AJ95VZJW,0,0,1,0
ANDTOXCS,0,0,0,1
AYR375LB,1,0,0,0
AYUG2VBI,1,0,0,0
BIAU48IL,1,0,0,0
BKOSUA7B,0,0,1,0
BKZ07QBO,1,0,0,0
BPHRVS1H,0,0,1,0
BQ3RI60R,1,0,0,0
BU07VJUX,1,0,0,0
BUUPSFJ1,1,0,0,0
BUXSYAXO,0,0,1,0
C41T92F7,0,0,0,1
C8631YTB,0,1,0,0
CCI1EP67,0,0,1,0
CL6VO0ZL,0,0,0,1
CMSUI7KZ,1,0,0,0
CQ2F9IGN,1,0,0,0
CR5KBERA,0,1,0,0
CVXS5L3C,1,0,0,0
CVZ52G5M,0,0,0,1
DCK8JTB2,1,0,0,0
DE19DTOL,1,0,0,0
DG908K5U,0,0,1,0
DGDIRALY,0,1,0,0
DI4P2QQX,0,1,0,0
DKVGD1IJ,0,0,1,0
DODZ41OP,0,1,0,0
DPJ4OEC9,1,0,0,0
DT2E8Z0Y,1,0,0,0
DWV43DRV,0,1,0,0
DYI2P5P3,1,0,0,0
DYVKY1ON,0,1,0,0
E0VNIWL4,0,1,0,0
E41VQ01H,0,1,0,0
E5KD22KF,1,0,0,0
E6RVMA41,1,0,0,0
EE5FDBNM,0,1,0,0
EIDANND5,0,0,1,0
EY6IC0E4,1,0,0,0
F33BM4FZ,0,1,0,0
F49KVD16,1,0,0,0
F4M78KUC,1,0,0,0
F7AI3ZLC,1,0,0,0
FFO4UILJ,0,0,0,1
FHJ1IH58,1,0,0,0
FKJB1707,1,0,0,0
FPVU61TO,1,0,0,0
FRZBEQH7,0,0,0,1
FUOOXD1M,0,1,0,0
FV80RL12,1,0,0,0
G1QBYL4O,0,1,0,0
GC265VS9,0,1,0,0
GFM2D42Q,1,0,0,0
GGNQOSTW,1,0,0,0
GGX9MUZS,1,0,0,0
GHKPUMG2,0,0,0,1
GIBCN23O,0,1,0,0
GNTLJ0E7,0,1,0,0
GT67A35X,1,0,0,0
GTF1GHCS,0,0,1,0
GW73P4MY,0,1,0,0
GX06HFUO,0,1,0,0
H4ATKPDS,0,1,0,0
H4L5M9EC,0,0,0,1
HB2GBCNY,1,0,0,0
HFHX9FY3,1,0,0,0
HNOBGMQR,0,1,0,0
HORZOP1I,1,0,0,0
HT3X6CBT,0,1,0,0
HZ481ZV9,0,1,0,0
I4QJFX7S,0,0,0,1
I7C5YIBV,0,1,0,0
I8XKEO6Q,0,0,1,0
ICAT0M7H,0,0,0,1
IJ2CEKCQ,0,0,0,1
IJHBPXRO,0,0,1,0
IRVOJF0A,1,0,0,0
ITPITEXJ,0,0,1,0
IV09XHLO,1,0,0,0
IZ0BUDDN,1,0,0,0
J4VYS10W,0,1,0,0
J89G2EAB,1,0,0,0
JGI2B1K2,0,0,0,1
JJSOMO3W,0,1,0,0
JTTTLHQZ,0,0,0,1
JY50ZNP9,0,0,1,0
K0732B8A,0,1,0,0
K1N9Q5UD,0,1,0,0
K4YUOEO3,0,1,0,0
K6LT8NSF,1,0,0,0
K7PGBHJ1,1,0,0,0
K83YUYRB,1,0,0,0
KCCMSUEO,0,1,0,0
KFXWZ5UZ,0,1,0,0
KO185AS3,0,0,1,0
KOHTZ87Y,1,0,0,0
KRK4V810,0,1,0,0
KXANZF15,0,0,0,1
L21RGZEA,0,0,0,1
LA7HU1TD,0,0,0,1
LDQPDSEQ,0,1,0,0
LDXD2SH6,0,0,1,0
LFTDM9RL,0,1,0,0
LILA0SH7,1,0,0,0
LNMBLTH4,1,0,0,0
LREDNA2Z,0,1,0,0
LU8M98TQ,0,0,0,1
LURBO1AA,0,1,0,0
M1H2TZHZ,1,0,0,0
MGGGVEEK,0,1,0,0
MHZNTK7J,0,0,1,0
MOR6QVHM,1,0,0,0
MZ0W3E21,0,0,0,1
N0M5HFZ4,1,0,0,0
N3RP8SW2,1,0,0,0
N4MHVE6D,1,0,0,0
N6AYNOKV,0,1,0,0
N82L56BF,0,1,0,0
N9K4UUS4,0,1,0,0
NAF8DOAZ,1,0,0,0
NAFC0V61,0,1,0,0
NBH3E9YH,1,0,0,0
NE6LYAT9,1,0,0,0
NKILW1NP,1,0,0,0
O7K8KU2O,1,0,0,0
OHRCIS8J,1,0,0,0
OKHQWFS5,0,1,0,0
OMAPSLZT,0,0,0,1
OOY8GDRH,0,1,0,0
OPZP8AD6,1,0,0,0
OQ3TLQ4J,1,0,0,0
OUREQSFZ,0,0,0,1
OWAUAIR6,1,0,0,0
OWJE6CPQ,1,0,0,0
P6Y2IXU4,0,1,0,0
PCRO6970,0,0,1,0
PCRSZ9UV,1,0,0,0
PGGZ2N8A,1,0,0,0
PHH1ERZG,1,0,0,0
PM7CUC6D,1,0,0,0
PM8EMAGV,1,0,0,0
PRURL087,1,0,0,0
PT0X6CU5,0,1,0,0
PUVTNFYO,0,1,0,0
PYTVXEF9,0,1,0,0
PZ024QY0,1,0,0,0
Q4WRS0PQ,0,0,0,1
Q7OA0QNU,0,1,0,0
QHA0QIDB,1,0,0,0
QNVFKVPO,1,0,0,0
QSI99X2N,1,0,0,0
QTD01ME7,1,0,0,0
QWEPGVLE,0,0,0,1
R5TQVK1E,1,0,0,0
R7X390UC,0,0,1,0
RBDC9TXE,0,1,0,0
RBJKAVC6,0,0,0,1
RBU7ND89,1,0,0,0
RMOUHSEU,0,1,0,0
RRFBVOW9,1,0,0,0
RT2TOM8I,1,0,0,0
S3S91EPE,1,0,0,0
S86OIM9K,0,1,0,0
SAPK1D54,1,0,0,0
SC9WIG5M,1,0,0,0
SE85CBXL,0,0,1,0
SELKNMCN,0,0,0,1
SF4BGQSH,0,0,1,0
SKWI5DBU,0,0,0,1
SLAB1M8M,1,0,0,0
SN0Y3CB9,0,1,0,0
SNVUHXY1,0,0,0,1
SQJTBF4L,1,0,0,0
SXWT5DIS,0,1,0,0
TC5Z7J76,0,1,0,0
TUI47XO3,0,1,0,0
UA7A354V,1,0,0,0
UPST0OK2,1,0,0,0
USO2MI7J,1,0,0,0
V0A2N0K5,1,0,0,0
V26UYHV9,1,0,0,0
VB7VFL75,1,0,0,0
VIV8YU3K,1,0,0,0
VLMY8JHQ,0,0,0,1
VT4U2VXD,1,0,0,0
VUWHXYI6,1,0,0,0
VVD03CXJ,1,0,0,0
W2D2M625,0,1,0,0
WDYSQ3BP,1,0,0,0
WLI8IPM8,1,0,0,0
WOKOVI83,1,0,0,0
WVGL15DG,1,0,0,0
X0016IPJ,1,0,0,0
X2E196ZE,1,0,0,0
X72WL59G,0,0,0,1
XDK01LYR,0,1,0,0
XLE74IX1,0,0,1,0
XU4HGW9C,0,0,1,0
XUHRT8P4,0,0,0,1
XXMTEUX8,0,1,0,0
XYRTMPGC,1,0,0,0
Y3QTMIO7,0,1,0,0
Y5S49JQ7,1,0,0,0
YAK9NY3K,0,1,0,0
YCHHQT18,1,0,0,0
YDIWQZA5,0,1,0,0
YG9CPVR0,0,1,0,0
YIJ0CEQJ,0,0,0,1
YMT18ON6,0,0,1,0
YNOCXCJN,1,0,0,0
YO2RYXV5,1,0,0,0
YSSD2IXK,0,0,1,0
Z78UM6R8,1,0,0,0
Z9A6ACLK,0,0,0,1
ZDUOIGKN,0,1,0,0
ZHQ60CCH,1,0,0,0
ZVIJMA4O,0,0,0,1
ZYIFAY98,0,1,0,0
